State,Year,Avg ASC-1 State Rate*,Median ASC-1 State Rate*,Avg ASC-2 State Rate*,Median ASC-2 State Rate*,Avg ASC-3 State Rate*,Median ASC-3 State Rate*,Avg ASC-4 State Rate*,Median ASC-4 State Rate*,Avg ASC-9 State Rate*,Median ASC-9 State Rate*,Avg ASC-11 State Rate*,Median ASC-11 State Rate*,ASC-12 Better,ASC-12 No Different,ASC-12 Worse,ASC-12 Too Small,Avg ASC-13 State Rate*,Median ASC-13 State Rate*,Avg ASC-14 State Rate*,Median ASC-14 State Rate*,ASC-17 Better,ASC-17 No Different,ASC-17 Worse,ASC-17 Too Small,ASC-18 Better,ASC-18 No Different,ASC-18 Worse,ASC-18 Too Small,ASC-19 Better,ASC-19 No Different,ASC-19 Worse,ASC-19 Too Small
AK,2024,0.012,0.000,0.025,0.000,0.003,0.000,0.048,0.039,95.80,96.00,N/A (5),N/A (5),0,10,0,0,98.05,100.00,0.323,0.353,0,9,0,3,0,5,0,3,0,10,0,3
AL,2024,0.000,0.000,0.019,0.014,0.002,0.000,0.097,0.075,18.65,90.67,0.42,0.42,0,25,1,1,79.01,99.93,0.202,0.152,0,24,0,6,0,9,0,10,0,20,0,17
AR,2024,0.003,0.000,0.033,0.014,0.002,0.000,0.072,0.069,93.41,92.31,98.77,100.00,0,17,1,1,96.45,100.00,0.191,0.165,0,11,0,23,0,2,0,5,0,15,0,16
AZ,2024,0.002,0.000,0.013,0.000,0.007,0.000,0.094,0.067,63.94,85.18,100.00,100.00,0,56,1,4,95.76,100.00,0.222,0.173,0,61,0,52,0,18,1,16,1,46,1,75
CA,2024,0.002,0.000,0.019,0.000,0.004,0.000,0.074,0.054,80.43,88.36,56.25,100.00,2,246,1,30,87.39,100.00,0.404,0.307,0,188,1,198,0,65,0,69,1,156,0,273
CO,2024,0.002,0.000,0.017,0.000,0.006,0.000,0.115,0.094,92.97,96.39,100.00,100.00,1,39,0,7,91.58,100.00,0.217,0.139,0,43,2,24,0,19,0,14,0,35,1,49
CT,2024,0.001,0.000,0.018,0.015,0.004,0.000,0.131,0.118,85.42,92.06,N/A (5),N/A (5),0,27,0,1,92.93,97.68,0.401,0.446,0,25,0,3,0,6,0,5,0,7,0,27
DC,2024,0.000,0.000,0.018,0.018,0.000,0.000,0.018,0.019,68.66,73.74,N/A (5),N/A (5),0,2,0,0,100.00,100.00,N/A (5),N/A (5),0,1,0,1,0,1,0,0,0,1,0,1
DE,2024,0.002,0.000,0.015,0.013,0.004,0.000,0.099,0.075,56.70,86.39,98.84,98.28,0,13,0,0,98.68,99.21,0.138,0.093,0,9,0,3,0,2,0,1,0,9,0,4
FL,2024,0.002,0.000,0.020,0.000,0.002,0.000,0.129,0.108,70.45,90.08,73.06,100.00,1,183,2,10,87.37,100.00,0.308,0.221,0,170,0,112,0,71,1,48,0,148,0,179
GA,2024,0.002,0.000,0.023,0.000,0.004,0.000,0.083,0.056,88.78,92.16,97.91,100.00,1,71,0,4,85.40,100.00,0.250,0.238,1,72,0,106,0,31,0,14,0,45,0,143
GU,2024,0.000,0.000,0.034,0.034,0.000,0.000,0.171,0.171,14.12,14.12,N/A (5),N/A (5),0,2,0,0,100.00,100.00,0.901,0.901,0,1,0,1,0,0,0,2,0,1,0,1
HI,2024,0.003,0.000,0.029,0.024,0.004,0.000,0.063,0.078,45.57,85.66,N/A (5),N/A (5),0,10,0,1,74.99,52.45,0.496,0.888,0,5,0,2,0,3,0,2,0,1,0,10
IA,2024,0.003,0.000,0.021,0.013,0.003,0.000,0.093,0.077,95.81,100.00,N/A (5),N/A (5),0,14,0,3,97.95,99.53,0.195,0.139,0,16,0,2,0,5,2,2,0,13,1,7
ID,2024,0.003,0.000,0.020,0.005,0.008,0.000,0.133,0.093,90.56,88.31,95.43,99.88,0,13,0,3,98.68,99.36,0.240,0.248,0,15,0,12,0,2,0,1,0,7,0,22
IL,2024,0.002,0.000,0.017,0.000,0.005,0.000,0.115,0.086,83.60,91.67,100.00,100.00,0,52,0,9,93.49,99.37,0.316,0.249,0,67,0,21,0,18,0,10,0,45,0,51
IN,2024,0.002,0.000,0.017,0.000,0.003,0.000,0.108,0.094,91.36,100.00,98.81,99.54,0,44,0,1,91.27,100.00,0.164,0.118,0,56,0,33,0,17,2,5,0,44,0,43
KS,2024,0.001,0.000,0.014,0.000,0.004,0.000,0.131,0.063,92.87,95.48,N/A (5),N/A (5),0,23,0,3,98.29,100.00,0.214,0.116,0,20,0,13,0,7,0,11,1,20,0,23
KY,2024,0.003,0.000,0.022,0.010,0.005,0.000,0.098,0.066,79.81,89.58,N/A (5),N/A (5),0,15,0,0,85.54,100.00,0.156,0.125,0,9,0,12,0,4,0,5,0,13,0,12
LA,2024,0.001,0.000,0.021,0.008,0.004,0.000,0.085,0.055,92.04,93.29,100.00,100.00,0,25,1,6,96.55,100.00,0.352,0.180,0,25,0,23,0,4,0,7,0,21,0,28
MA,2024,0.001,0.000,0.015,0.000,0.002,0.000,0.086,0.062,89.82,92.88,100.00,100.00,0,20,0,1,80.74,99.46,0.406,0.361,0,15,0,7,0,5,0,1,0,15,0,14
