"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.488,,01/01/2024,12/31/2024
AK,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.178,,01/01/2024,12/31/2024
AK,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.776,,01/01/2024,12/31/2024
AK,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.467,,01/01/2024,12/31/2024
AK,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,1.155,,01/01/2024,12/31/2024
AK,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.753,,01/01/2024,12/31/2024
AK,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.950,,01/01/2024,12/31/2024
AK,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,2.089,,01/01/2024,12/31/2024
AK,HAI_3_SIR,SSI - Colon Surgery,1.436,,01/01/2024,12/31/2024
AK,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.131,,01/01/2024,12/31/2024
AK,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.574,,01/01/2024,12/31/2024
AK,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.779,,01/01/2024,12/31/2024
AK,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.534,,01/01/2024,12/31/2024
AK,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.433,,01/01/2024,12/31/2024
AK,HAI_5_SIR,MRSA Bacteremia,0.902,,01/01/2024,12/31/2024
AK,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.271,,01/01/2024,12/31/2024
AK,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.513,,01/01/2024,12/31/2024
AK,HAI_6_SIR,Clostridium Difficile (C.Diff),0.378,,01/01/2024,12/31/2024
AL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.649,,01/01/2024,12/31/2024
AL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.850,,01/01/2024,12/31/2024
AL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.744,,01/01/2024,12/31/2024
AL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.446,,01/01/2024,12/31/2024
AL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.574,,01/01/2024,12/31/2024
AL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.507,,01/01/2024,12/31/2024
AL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.609,,01/01/2024,12/31/2024
AL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.862,,01/01/2024,12/31/2024
AL,HAI_3_SIR,SSI - Colon Surgery,0.727,,01/01/2024,12/31/2024
AL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.460,,01/01/2024,12/31/2024
AL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.856,,01/01/2024,12/31/2024
AL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.635,,01/01/2024,12/31/2024
AL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.749,,01/01/2024,12/31/2024
AL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.006,,01/01/2024,12/31/2024
AL,HAI_5_SIR,MRSA Bacteremia,0.870,,01/01/2024,12/31/2024
AL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.431,,01/01/2024,12/31/2024
AL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.499,,01/01/2024,12/31/2024
AL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.464,,01/01/2024,12/31/2024
AR,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.502,,01/01/2024,12/31/2024
AR,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.725,,01/01/2024,12/31/2024
AR,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.606,,01/01/2024,12/31/2024
AR,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.352,,01/01/2024,12/31/2024
AR,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.513,,01/01/2024,12/31/2024
AR,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.427,,01/01/2024,12/31/2024
AR,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.905,,01/01/2024,12/31/2024
AR,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.330,,01/01/2024,12/31/2024
AR,HAI_3_SIR,SSI - Colon Surgery,1.103,,01/01/2024,12/31/2024
AR,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.741,,01/01/2024,12/31/2024
AR,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.684,,01/01/2024,12/31/2024
AR,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.141,,01/01/2024,12/31/2024
AR,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.850,,01/01/2024,12/31/2024
AR,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.245,,01/01/2024,12/31/2024
AR,HAI_5_SIR,MRSA Bacteremia,1.034,,01/01/2024,12/31/2024
AR,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.301,,01/01/2024,12/31/2024
AR,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.386,,01/01/2024,12/31/2024
