"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
01C0001011,GADSDEN SURGERY CENTER LP,418 SOUTH 5TH ST,GADSDEN,AL,35901,,(256) 543-1253,99,1,0,100,94,6,0,97,98,2,0,98,94,6,0,98,"3,10",234,37,16,01/01/2024,12/31/2024
01C0001020,MEDPLEX OUTPATIENT SURGERY CENTER LTD,4511 SOUTHLAKE PARKWAY,BIRMINGHAM,AL,35244,,(205) 985-4398,96,3,1,98,93,5,2,96,88,9,3,94,88,10,2,95,,986,246,25,01/01/2024,12/31/2024
01C0001026,MONTGOMERY EYE SURGERY CENTER LLC,2752 ZELDA RD,MONTGOMERY,AL,36106,,(334) 270-6977,96,4,0,98,93,6,1,96,88,10,2,95,87,9,4,93,3,1075,299,28,01/01/2024,12/31/2024
01C0001039,DOTHAN SURGERY CENTER LLC,1450 ROSS CLARK CIR SUITE 4,DOTHAN,AL,36301,,(334) 793-3442,98,2,0,99,94,5,1,97,96,3,1,97,95,4,1,97,"3,10",153,42,27,01/01/2024,12/31/2024
01C0001042,GULF COAST SURGICAL PARTNERS LLC,"3715 DAUPHIN ST, STE. 503B",MOBILE,AL,36608,,(251) 272-4934,96,3,1,98,94,5,1,96,89,7,4,95,91,8,1,96,,825,207,25,01/01/2024,12/31/2024
01C0001046,SHELBY BAPTIST AMBULATORY SURGERY CENTER LLC,1010 1ST ST N,ALABASTER,AL,35007,,(205) 620-8400,98,2,0,99,94,5,1,96,90,9,1,96,88,12,0,96,,1413,372,26,01/01/2024,12/31/2024
01C0001048,SURGERY CENTER OF CULLMAN LLC,1403 WALL ST NORTHEAST,CULLMAN,AL,35055,,(256) 736-2811,99,1,0,100,96,3,1,98,94,6,0,98,94,3,3,96,"3,10",139,32,23,01/01/2024,12/31/2024
01C0001051,ALABAMA DIGESTIVE HEALTH ENDOSCOPY CENTER LLC,2010 BROOKWOOD MEDICAL CTR DR  G100,BIRMINGHAM,AL,35209,,(205) 877-1187,95,4,1,97,89,10,1,94,85,11,4,93,78,21,1,92,,1041,176,17,01/01/2024,12/31/2024
01C0001053,JACKSON SURGERY CENTER LLC,1725 PARK PL,MONTGOMERY,AL,36106,,(334) 293-3920,97,3,0,98,90,8,2,94,84,11,5,93,83,14,3,93,,764,176,23,01/01/2024,12/31/2024
01C0001061,AFFINITY GASTROENTEROLOGY ASC LLC,3686 GRANDVIEW PARKWAY SUITE 610,BIRMINGHAM,AL,35243,,(205) 971-3706,98,2,0,99,93,5,2,96,91,9,0,96,93,7,0,98,"3,6",338,79,23,01/01/2024,12/31/2024
