"State","Condition","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AK,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,74,,10/01/2024,03/31/2025
AK,Emergency Department,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",145,,01/01/2024,12/31/2024
AK,Emergency Department,OP_18a_HIGH_MIN,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better (high)",156,,01/01/2024,12/31/2024
AK,Emergency Department,OP_18a_LOW_MIN,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better (low)",140,,01/01/2024,12/31/2024
AK,Emergency Department,OP_18a_MEDIUM_MIN,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better (moderate)",159,,01/01/2024,12/31/2024
AK,Emergency Department,OP_18a_VERY_HIGH_MIN,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better (very high)",Not Available,5,01/01/2024,12/31/2024
AK,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,137,"25, 26",01/01/2024,12/31/2024
AK,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),152,"25, 26",01/01/2024,12/31/2024
AK,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),132,"25, 26",01/01/2024,12/31/2024
AK,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),146,"25, 26",01/01/2024,12/31/2024
AK,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (very high),Not Available,"25, 26",01/01/2024,12/31/2024
AK,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,201,25,01/01/2024,12/31/2024
AK,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),222,25,01/01/2024,12/31/2024
AK,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),200,25,01/01/2024,12/31/2024
AK,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),254,25,01/01/2024,12/31/2024
AK,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),Not Available,25,01/01/2024,12/31/2024
AK,Emergency Department,OP_18d,Average (median) time transfer patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,286,,01/01/2024,12/31/2024
AK,Emergency Department,OP_18d_HIGH_MIN,Average (median) time transfer patients spent in the emergency department before leaving from the visit. A lower number of minutes is better (high),Not Available,5,01/01/2024,12/31/2024
AK,Emergency Department,OP_18d_LOW_MIN,Average (median) time transfer patients spent in the emergency department before leaving from the visit. A lower number of minutes is better (low),285,,01/01/2024,12/31/2024
AK,Emergency Department,OP_18d_MEDIUM_MIN,Average (median) time transfer patients spent in the emergency department before leaving from the visit. A lower number of minutes is better (moderate),209,,01/01/2024,12/31/2024
AK,Emergency Department,OP_18d_VERY_HIGH_MIN,Average (median) time transfer patients spent in the emergency department before leaving from the visit. A lower number of minutes is better (very high),Not Available,5,01/01/2024,12/31/2024
AK,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",01/01/2023,12/31/2023
AK,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,65,25,01/01/2024,12/31/2024
AK,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,87,"25, 26",01/01/2023,12/31/2023
AK,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
AK,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,16,,01/01/2024,12/31/2024
AK,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,59,"25, 26",01/01/2024,12/31/2024
AK,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,64,"25, 26",01/01/2024,12/31/2024
AK,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,80,"25, 26",01/01/2024,12/31/2024
AK,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,79,"25, 26",01/01/2024,12/31/2024
AK,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,92,"25, 26",01/01/2024,12/31/2024
AL,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,72,,10/01/2024,03/31/2025
AL,Emergency Department,OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",150,,01/01/2024,12/31/2024
AL,Emergency Department,OP_18a_HIGH_MIN,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better (high)",168,,01/01/2024,12/31/2024
AL,Emergency Department,OP_18a_LOW_MIN,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better (low)",125,,01/01/2024,12/31/2024
AL,Emergency Department,OP_18a_MEDIUM_MIN,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better (moderate)",174,,01/01/2024,12/31/2024
AL,Emergency Department,OP_18a_VERY_HIGH_MIN,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better (very high)",207,,01/01/2024,12/31/2024
AL,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,145,"25, 26",01/01/2024,12/31/2024
AL,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),165,"25, 26",01/01/2024,12/31/2024
AL,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),120,"25, 26",01/01/2024,12/31/2024
AL,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),170,"25, 26",01/01/2024,12/31/2024
AL,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (very high),202,"25, 26",01/01/2024,12/31/2024
AL,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,224,25,01/01/2024,12/31/2024
AL,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),247,25,01/01/2024,12/31/2024
AL,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),182,25,01/01/2024,12/31/2024
AL,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),252,25,01/01/2024,12/31/2024
AL,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),314,25,01/01/2024,12/31/2024
AL,Emergency Department,OP_18d,Average (median) time transfer patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,287,,01/01/2024,12/31/2024
AL,Emergency Department,OP_18d_HIGH_MIN,Average (median) time transfer patients spent in the emergency department before leaving from the visit. A lower number of minutes is better (high),330,,01/01/2024,12/31/2024
AL,Emergency Department,OP_18d_LOW_MIN,Average (median) time transfer patients spent in the emergency department before leaving from the visit. A lower number of minutes is better (low),273,,01/01/2024,12/31/2024
AL,Emergency Department,OP_18d_MEDIUM_MIN,Average (median) time transfer patients spent in the emergency department before leaving from the visit. A lower number of minutes is better (moderate),338,,01/01/2024,12/31/2024
AL,Emergency Department,OP_18d_VERY_HIGH_MIN,Average (median) time transfer patients spent in the emergency department before leaving from the visit. A lower number of minutes is better (very high),361,,01/01/2024,12/31/2024
AL,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,3,"25, 26",01/01/2023,12/31/2023
AL,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,68,25,01/01/2024,12/31/2024
AL,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,92,"25, 26",01/01/2023,12/31/2023
AL,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,100,,01/01/2023,12/31/2023
AL,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,13,,01/01/2024,12/31/2024
AL,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,62,"25, 26",01/01/2024,12/31/2024
AL,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,71,"25, 26",01/01/2024,12/31/2024
AL,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,87,"25, 26",01/01/2024,12/31/2024
AL,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,79,"25, 26",01/01/2024,12/31/2024
