"State","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
Alabama,97,3,0,99,93,6,1,96,91,7,2,96,90,9,1,96,9306,2319,25,01/01/2024,12/31/2024
Alaska,98,1,1,99,95,5,0,97,89,4,7,93,85,15,0,95,254,30,12,01/01/2024,12/31/2024
American Samoa,,,,,,,,,,,,,,,,,,,,,
Arizona,97,3,0,98,91,7,2,95,89,9,2,95,86,12,2,94,36172,9667,27,01/01/2024,12/31/2024
Arkansas,98,2,0,99,91,7,2,95,90,8,2,96,89,8,3,95,3391,850,25,01/01/2024,12/31/2024
California,96,4,0,98,91,7,2,94,88,9,3,95,86,11,3,94,84179,19763,24,01/01/2024,12/31/2024
Colorado,97,3,0,98,92,7,1,95,88,10,2,95,85,13,2,94,32524,7287,22,01/01/2024,12/31/2024
Commonwealth of the Northern Marianas Islands,,,,,,,,,,,,,,,,,,,,,
Connecticut,98,2,0,99,93,6,1,96,91,8,1,96,90,9,1,96,9634,2639,27,01/01/2024,12/31/2024
Delaware,96,4,0,98,94,5,1,96,88,10,2,95,88,10,2,95,3565,1012,28,01/01/2024,12/31/2024
District of Columbia,96,3,1,97,92,6,2,95,79,17,4,92,77,18,5,90,2935,406,14,01/01/2024,12/31/2024
Florida,97,3,0,98,92,6,2,95,89,9,2,95,87,10,3,94,104784,27972,27,01/01/2024,12/31/2024
Georgia,98,2,0,99,93,6,1,96,92,6,2,96,90,8,2,96,37426,8447,23,01/01/2024,12/31/2024
Guam,,,,,,,,,,,,,,,,,,,,,
Hawaii,96,3,1,98,89,9,2,94,86,11,3,95,84,13,3,93,8600,2657,31,01/01/2024,12/31/2024
Idaho,98,2,0,99,93,6,1,96,90,8,2,95,88,10,2,95,4559,1329,29,01/01/2024,12/31/2024
Illinois,98,2,0,99,93,6,1,96,90,8,2,96,88,10,2,95,20403,6149,30,01/01/2024,12/31/2024
Indiana,98,2,0,99,93,6,1,96,90,8,2,95,88,10,2,95,29080,8149,28,01/01/2024,12/31/2024
Iowa,98,2,0,99,94,5,1,96,89,9,2,95,88,10,2,95,2465,913,37,01/01/2024,12/31/2024
Kansas,98,2,0,99,93,6,1,96,91,7,2,96,88,11,1,95,10637,2635,25,01/01/2024,12/31/2024
Kentucky,97,2,1,98,93,5,2,96,90,8,2,95,88,9,3,94,3182,886,28,01/01/2024,12/31/2024
Louisiana,97,3,0,99,93,5,2,96,91,7,2,96,89,9,2,95,14084,3473,25,01/01/2024,12/31/2024
Maine,99,1,0,100,96,4,0,98,97,3,0,98,96,3,1,98,1488,476,32,01/01/2024,12/31/2024
Maryland,97,3,0,98,92,7,1,95,88,10,2,95,86,12,2,94,71551,19208,27,01/01/2024,12/31/2024
Massachusetts,98,2,0,99,92,7,1,96,89,9,2,95,88,10,2,95,11695,3304,28,01/01/2024,12/31/2024
Michigan,98,2,0,99,92,6,2,95,92,7,1,96,91,8,1,96,23041,6529,29,01/01/2024,12/31/2024
Minnesota,98,2,0,99,93,6,1,96,90,8,2,95,88,11,1,95,27367,7961,29,01/01/2024,12/31/2024
Mississippi,98,2,0,99,93,6,1,96,91,8,1,96,90,8,2,95,11608,2962,26,01/01/2024,12/31/2024
Missouri,98,2,0,99,93,6,1,96,92,7,1,96,89,9,2,95,19016,5506,29,01/01/2024,12/31/2024
Montana,98,2,0,99,93,6,1,96,90,8,2,96,90,8,2,95,5005,1536,31,01/01/2024,12/31/2024
Nebraska,98,2,0,99,94,5,1,96,91,7,2,96,88,11,1,96,3328,1018,31,01/01/2024,12/31/2024
Nevada,97,3,0,98,91,7,2,95,90,8,2,95,89,9,2,95,7257,1769,24,01/01/2024,12/31/2024
New Hampshire,98,2,0,99,94,5,1,96,92,6,2,96,90,7,3,95,7670,2072,27,01/01/2024,12/31/2024
